formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,step_id,left_out_year,N,n11,n10,n01,n00,retention,target_marginal,lift,delta,nonanchor_target_rate,delta_nonanchor,joint_rate,independence_expected_joint_rate,joint_excess,selection_path_not_independently_confirmed
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2025,1410870,33105,87689,183379,1106697,0.27406162557742936,0.1534400759814866,1.7861150278007971,0.12062154959594276,0.14214588907940306,0.1319157364980263,0.0234642454655638,0.013137029306816142,0.01032721615874766,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2026,1510187,39009,103275,192743,1175160,0.2741629417221894,0.15345914115271816,1.7865533435336398,0.12070380056947125,0.1409039968477297,0.13325894487445972,0.025830575948541473,0.014458328961759935,0.011372246986781537,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2016,1546257,15876,22041,365000,1143340,0.41870401139330643,0.24632127776947815,1.6998288381126136,0.17238273362382828,0.2419878807165493,0.17671613067675712,0.010267374699031273,0.006040240328215363,0.00422713437081591,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2017,1443950,14993,20986,337321,1070650,0.4167153061508102,0.2439932130613941,1.707897121080804,0.1727220930894161,0.23957950838476078,0.17713579776604943,0.010383323522282627,0.006079595424173897,0.00430372809810873,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2018,1429225,14764,21165,330552,1062744,0.41092153970330375,0.24161066312162185,1.700759123766215,0.1693108765816819,0.23724463430599096,0.1736769053973128,0.010330073991149049,0.006073801896340151,0.004256272094808898,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2019,1418108,14228,19832,335855,1048193,0.4177334116265414,0.2468662471405563,1.6921446996709104,0.17086716448598507,0.24266138168618429,0.1750720299403571,0.010033086337570904,0.005929212991963481,0.004103873345607423,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2020,1411427,14657,21271,337222,1038277,0.40795479848586064,0.24930726137448128,1.6363534549163288,0.15864753711137936,0.24516339161278924,0.1627914068730714,0.010384525731759417,0.006346138543943372,0.004038387187816045,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2021,1401387,14374,20731,329525,1036757,0.4094573422589375,0.24539902253981236,1.6685369730537907,0.16405831971912513,0.24118373805700433,0.16827360420193316,0.010256981119419547,0.006147290281885099,0.004109690837534448,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2022,1391534,13828,19878,319866,1037962,0.41025336735299356,0.23980298002061035,1.7107934493463488,0.1704503873323832,0.23557181027346616,0.1746815570795274,0.009937234735191522,0.005808553182728336,0.004128681552463186,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V_GIVEN_PCT,2023,1383578,13613,19203,319796,1030966,0.41482813261823503,0.24097593341322282,1.7214504649594713,0.17385219920501221,0.23675229240976575,0.17807584020846928,0.009838982695590708,0.005715518916091698,0.0041234637794990096,true
