candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_q20_shared__d1__g1,event_diag_events_per_year,478.90909090909093,478.90909090909093,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_nonzero_years,11,11,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_max_year_share,0.1611617312072893,0.1611617312072893,passed
r2_s_pct_w120_q20_shared__d1__g2,qualified_event_count,5131,5131,passed
r2_s_pct_w120_q20_shared__d1__g2,unique_securities,777,777,passed
r2_s_pct_w120_q20_shared__d1__g2,retained_confirmed_day_ratio,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g2,confirmed_event_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g2,retrospective_qualified_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g2,asof_qualified_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g2,short_interval_drop_rate,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g2,bridged_day_ratio,0.03840867992766727,0.03840867992766727,passed
r2_s_pct_w120_q20_shared__d1__g2,merge_ratio,0.07133112453712727,0.07133112453712727,passed
r2_s_pct_w120_q20_shared__d1__g2,open_event_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g2,nonzero_years,11,11,passed
r2_s_pct_w120_q20_shared__d1__g2,max_year_share,0.1598129019684272,0.1598129019684272,passed
r2_s_pct_w120_q20_shared__d1__g2,duration_q95_ratio,1.3333333333333333,1.3333333333333333,passed
r2_s_pct_w120_q20_shared__d1__g2,unqualified_reentry_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,qualified_component_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g2,unqualified_component_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,raw_false_bridged_day_count,531,531,passed
r2_s_pct_w120_q20_shared__d1__g2,preconfirmation_gap_day_count,818,818,passed
r2_s_pct_w120_q20_shared__d1__g2,total_nonconfirmed_gap_day_count,1349,1349,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_qualification,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_unqualified_close,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_event_creation,5131,5131,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_event_terminal,5131,5131,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_accepted_bridge_paths,394,394,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_rejected_reentry_paths,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,transition_event_entity_discontinuity_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_interval_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_duration_mean,2.2580995475113124,2.2580995475113124,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_duration_median,2.0,2.0,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_duration_q90,4,4,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_duration_q95,6,6,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_singleton_count,2512,2512,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_fragment_rate,0.4546606334841629,0.4546606334841629,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_natural_exit_count,5522,5522,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_quality_interruption_count,3,3,passed
r2_s_pct_w120_q20_shared__d1__g2,atomic_diag_right_censored_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_qualified_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_unqualified_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_qualification_rate,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_qualified_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_retrospective_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_asof_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_prequalification_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_prequalification_right_censored,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_delay_mean,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_delay_median,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_delay_q90,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_delay_q95,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_unqualified_reentry_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,component_diag_unqualified_reentry_rate,,,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_count,5131,5131,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_natural_count,5124,5124,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_quality_count,7,7,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_right_censored_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_component_q90,1,1,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_component_q95,2,2,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_component_mean,1.0767881504580004,1.0767881504580004,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_component_median,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_component_max,4,4,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridge_q90,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridge_q95,1,1,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridge_mean,0.07678815045800039,0.07678815045800039,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridge_median,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridge_max,3,3,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_duration_q90,6,6,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_duration_q95,8,8,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_zone_span_sum,13825,13825,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_zone_span_coverage,0.008625896282098318,0.008625896282098318,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_duration_mean,2.694406548431105,2.694406548431105,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_duration_median,2.0,2.0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_max_zone_span,21,21,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_duration_q95_ratio,1.3333333333333333,1.3333333333333333,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_confirmed_density,0.9024231464737794,0.9024231464737794,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridge_count,394,394,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridged_days,531,531,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_raw_false_days,531,531,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_preconfirmation_days,818,818,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_total_gap_days,1349,1349,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_bridged_day_ratio,0.03840867992766727,0.03840867992766727,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_raw_false_ratio,0.03840867992766727,0.03840867992766727,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_nonconfirmed_ratio,0.09757685352622061,0.09757685352622061,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_max_single_gap,2,2,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_top_zone_share,0.0014427701186277653,0.0014427701186277653,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_merge_ratio,0.07133112453712727,0.07133112453712727,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_revision_count,394,394,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_mega_zone_concentration,0.058010849909584085,0.058010849909584085,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_open_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_active_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_gap_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_reentry_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_events_per_security_mean,6.603603603603603,6.603603603603603,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_events_per_security_median,7.0,7.0,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_events_per_security_q90,10,10,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_events_per_security_max,17,17,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_events_per_year,466.45454545454544,466.45454545454544,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_nonzero_years,11,11,passed
r2_s_pct_w120_q20_shared__d1__g2,event_diag_max_year_share,0.1598129019684272,0.1598129019684272,passed
r2_s_pct_w120_q20_shared__d2__g0,qualified_event_count,3013,3013,passed
r2_s_pct_w120_q20_shared__d2__g0,unique_securities,752,752,passed
r2_s_pct_w120_q20_shared__d2__g0,retained_confirmed_day_ratio,0.7986534145559474,0.7986534145559474,passed
r2_s_pct_w120_q20_shared__d2__g0,confirmed_event_coverage,0.006216884669426954,0.006216884669426954,passed
r2_s_pct_w120_q20_shared__d2__g0,retrospective_qualified_confirmed_coverage,0.006216884669426954,0.006216884669426954,passed
r2_s_pct_w120_q20_shared__d2__g0,asof_qualified_confirmed_coverage,0.004336969624366394,0.004336969624366394,passed
r2_s_pct_w120_q20_shared__d2__g0,short_interval_drop_rate,0.45472654835204634,0.45472654835204634,passed
r2_s_pct_w120_q20_shared__d2__g0,bridged_day_ratio,0.0,0.0,passed
