layer,role,indicator_id,W,q,total_row_count,eligible_day_count,ineligible_day_count,hit_true_day_count,hit_false_day_count,hit_null_day_count,hit_rate,coverage,unique_security_count_hit,nonzero_year_count,segment_count,strict_onset_count,left_censored_start_count,total_hit_duration,mean_duration,std_duration,min_duration,q10,q25,q50,q75,q90,q95,q99,max_duration,single_day_segment_count,single_day_fragment_ratio
V,A,V1_TurnoverShrink20_60,500,0.1,1730769,1267268,463501,125895,1141373,463501,0.09934362739373202,0.0727393430319124,770,9,9835,9773,62,125895,12.800711743772242,12.499962965240218,1,1.0,3.0,8.0,20.0,31.0,38.0,53.0,79,1461,0.1485510930350788
V,A,V1_TurnoverShrink20_60,500,0.2,1730769,1267268,463501,243431,1023837,463501,0.19209117566292214,0.14064904097542769,774,9,14714,14578,136,243431,16.544175615060485,15.913340440846614,1,1.0,3.0,11.0,25.0,40.0,49.0,63.0,104,1826,0.12409949707761316
V,A,V1_TurnoverShrink20_60,500,0.3,1730769,1267268,463501,363358,903910,463501,0.286725459808028,0.2099402057698052,777,9,18293,18072,221,363358,19.863226370742908,19.05656379522204,1,1.0,4.0,14.0,32.0,49.0,58.0,73.0,124,2163,0.11824195047285847
V,B,V2_AmountLevel20Pct,120,0.1,1730769,1619612,111157,293186,1326426,111157,0.18102236832031376,0.1693963781417393,796,11,21458,21335,123,293186,13.663249137850684,12.938893021254547,1,1.0,3.0,10.0,21.0,31.0,39.0,56.0,118,3083,0.14367601826824494
V,B,V2_AmountLevel20Pct,120,0.2,1730769,1619612,111157,434129,1185483,111157,0.2680450626446334,0.2508301223329052,796,11,23327,23147,180,434129,18.610580014575383,18.71382990884929,1,1.0,3.0,13.0,29.0,44.0,56.0,79.0,159,3000,0.1286063360054872
V,B,V2_AmountLevel20Pct,120,0.3,1730769,1619612,111157,568848,1050764,111157,0.35122486126306796,0.3286677771557036,797,11,24370,24125,245,568848,23.34214197784161,24.358727014593022,1,1.0,4.0,15.0,36.0,56.0,72.0,104.0,257,2807,0.11518260155929422
V,B,V2_AmountLevel20Pct,250,0.1,1730769,1516287,214482,222101,1294186,214482,0.1464768872911263,0.12832503933222747,779,10,13678,13479,199,222101,16.237827167714578,17.07422293551326,1,1.0,3.0,10.0,25.0,39.0,49.0,75.0,154,1888,0.13803187600526393
V,B,V2_AmountLevel20Pct,250,0.2,1730769,1516287,214482,351209,1165078,214482,0.23162435607507023,0.2029207826116599,786,10,15480,15177,303,351209,22.687919896640828,26.140364329239382,1,1.0,4.0,14.0,32.0,56.0,76.0,119.0,261,1888,0.12196382428940568
V,B,V2_AmountLevel20Pct,250,0.3,1730769,1516287,214482,469699,1046588,214482,0.3097691927715531,0.2713816806286685,788,10,16923,16551,372,469699,27.755067068486674,33.661801417335624,1,1.0,4.0,16.0,39.0,70.0,96.0,155.0,309,1880,0.11109141405188205
V,B,V2_AmountLevel20Pct,500,0.1,1730769,1319004,411765,162937,1156067,411765,0.12353033046146941,0.09414139032996316,746,9,8049,7900,149,162937,20.243135793266244,23.621200882255188,1,1.0,3.0,12.0,29.0,49.0,67.0,111.51999999999953,259,954,0.11852404025344764
V,B,V2_AmountLevel20Pct,500,0.2,1730769,1319004,411765,265165,1053839,411765,0.201034265248627,0.1532064648719731,753,9,9713,9483,230,265165,27.300010295480284,34.989436759111065,1,1.0,4.0,15.0,36.0,69.0,99.0,162.8799999999992,346,1110,0.11427983115412334
V,B,V2_AmountLevel20Pct,500,0.3,1730769,1319004,411765,362317,956687,411765,0.27468984172906225,0.20933873902294298,760,9,11003,10717,286,362317,32.92892847405253,45.16211524633893,1,1.0,4.0,17.0,41.0,83.0,126.0,218.0,436,1197,0.10878851222393893
