candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w250_q20_shared__d3__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1076,0
r2_s_pct_w250_q20_shared__d3__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3442,0
r2_s_pct_w250_q20_shared__d3__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1339,0
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,39,0
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,63,0
r2_s_pct_w250_q20_shared__d3__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1210,0
r2_s_pct_w250_q20_shared__d3__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d3__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,63,0
r2_s_pct_w250_q20_shared__d3__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,39,0
r2_s_pct_w250_qt25_primary__d1__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,782,0
r2_s_pct_w250_qt25_primary__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
r2_s_pct_w250_qt25_primary__d1__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,6958,0
r2_s_pct_w250_qt25_primary__d1__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,6176,0
r2_s_pct_w250_qt25_primary__d1__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6958,0
r2_s_pct_w250_qt25_primary__d1__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,782,0
r2_s_pct_w250_qt25_primary__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
r2_s_pct_w250_qt25_primary__d1__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,6556,0
r2_s_pct_w250_qt25_primary__d1__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_qt25_primary__d1__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,401,0
r2_s_pct_w250_qt25_primary__d1__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,6176,0
r2_s_pct_w250_qt25_primary__d1__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6958,0
r2_s_pct_w250_qt25_primary__d1__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,401,0
r2_s_pct_w250_qt25_primary__d1__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,782,0
r2_s_pct_w250_qt25_primary__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
r2_s_pct_w250_qt25_primary__d1__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,6295,0
r2_s_pct_w250_qt25_primary__d1__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,2,2
r2_s_pct_w250_qt25_primary__d1__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,661,0
r2_s_pct_w250_qt25_primary__d1__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,6176,0
r2_s_pct_w250_qt25_primary__d1__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6958,0
r2_s_pct_w250_qt25_primary__d1__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,661,0
r2_s_pct_w250_qt25_primary__d2__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1915,0
r2_s_pct_w250_qt25_primary__d2__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2633,0
r2_s_pct_w250_qt25_primary__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
r2_s_pct_w250_qt25_primary__d2__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4325,0
r2_s_pct_w250_qt25_primary__d2__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,3838,0
r2_s_pct_w250_qt25_primary__d2__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6958,0
r2_s_pct_w250_qt25_primary__d2__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1915,0
r2_s_pct_w250_qt25_primary__d2__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2633,0
r2_s_pct_w250_qt25_primary__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4060,0
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,161,0
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,103,0
r2_s_pct_w250_qt25_primary__d2__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,3838,0
r2_s_pct_w250_qt25_primary__d2__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6958,0
r2_s_pct_w250_qt25_primary__d2__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,103,0
r2_s_pct_w250_qt25_primary__d2__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,161,0
r2_s_pct_w250_qt25_primary__d2__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1915,0
r2_s_pct_w250_qt25_primary__d2__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2633,0
r2_s_pct_w250_qt25_primary__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,3888,0
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,2,2
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,268,0
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,167,0
r2_s_pct_w250_qt25_primary__d2__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,3838,0
r2_s_pct_w250_qt25_primary__d2__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6958,0
r2_s_pct_w250_qt25_primary__d2__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,167,0
r2_s_pct_w250_qt25_primary__d2__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,268,0
r2_s_pct_w250_qt25_primary__d3__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1742,0
r2_s_pct_w250_qt25_primary__d3__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,4316,0
r2_s_pct_w250_qt25_primary__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6958,0
