security_id,indicator_id,row_count,valid_count,valid_rate,zero_count,zero_rate_among_valid,first_date,last_date,first_valid_date,last_valid_date,min_value,median_value,max_value
000338.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2388,0.9379418695993715,7,0.002931323283082077,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
000338.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2388,0.9379418695993715,32,0.01340033500837521,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.004101659297232896,0.022567469756460845
000400.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2487,0.9768263943440691,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.220969353443735e-05,0.032504539808440036,0.23746002953254486
000400.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2468,0.969363707776905,4,0.0016207455429497568,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000400.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2468,0.969363707776905,17,0.006888168557536467,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.004382379480380227,0.023148382379398848
000408.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2004,0.7871170463472114,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,9.354849872522664e-08,0.03074710602765518,0.244843585653161
000408.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,1864,0.7321288295365279,11,0.005901287553648069,2016-01-04,2026-06-30,2016-08-19,2026-06-30,0.0,0.5,1.0
000408.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,1864,0.7321288295365279,25,0.013412017167381975,2016-01-04,2026-06-30,2016-08-19,2026-06-30,0.0,0.0043441301119603645,0.022259920517462617
000415.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2072,0.8138256087981147,0,0.0,2016-01-04,2026-06-30,2017-03-23,2026-06-30,1.569968251757814e-05,0.025781191040707085,0.41161735924691367
000415.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2034,0.7989002356637863,1,0.0004916420845624386,2016-01-04,2026-06-30,2017-04-21,2026-06-30,0.0,0.5,0.9
000415.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2034,0.7989002356637863,34,0.01671583087512291,2016-01-04,2026-06-30,2017-04-21,2026-06-30,0.0,0.0036774886512774387,0.04073303489260418
000423.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2487,0.9768263943440691,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,9.847057294010142e-06,0.02622492676869914,0.208843090788557
000423.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2468,0.969363707776905,0,0.0,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.05,0.5,0.95
000423.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2468,0.969363707776905,24,0.009724473257698542,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0035921177925998028,0.022603415122042936
000425.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2233,0.8770620581304006,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.6032113633990264e-05,0.027851335064966953,0.17874782658350874
000425.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2157,0.8472113118617439,9,0.004172461752433936,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000425.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2157,0.8472113118617439,20,0.00927213722763097,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.003910300778795861,0.014926677564058499
000429.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2478,0.9732914375490966,0,0.0,2016-01-04,2026-06-30,2016-04-15,2026-06-30,5.753463769408995e-06,0.014698183278731403,0.19416846845827074
000429.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2459,0.9658287509819324,7,0.0028466856445709637,2016-01-04,2026-06-30,2016-05-13,2026-06-30,0.0,0.5,0.95
000429.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2459,0.9658287509819324,34,0.013826758845058967,2016-01-04,2026-06-30,2016-05-13,2026-06-30,0.0,0.0020646007986960813,0.014069952674394615
000513.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2424,0.9520816967792616,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.9150236912679475e-05,0.023121609069429283,0.17123279475587339
000513.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2386,0.9371563236449332,11,0.004610226320201173,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000513.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2386,0.9371563236449332,23,0.009639564124056999,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.003161246237277604,0.016779611098349977
000519.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2362,0.9277297721916732,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.2086701953073486e-05,0.035291206309225664,0.2557280363773895
000519.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2305,0.9053417124901807,17,0.00737527114967462,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.45,0.95
000519.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2305,0.9053417124901807,29,0.012581344902386117,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.005000480211509029,0.023825275627823172
000528.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2320,0.9112333071484682,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,3.733523556270768e-05,0.02486496875228772,0.2013719076428524
000528.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2263,0.8888452474469757,4,0.0017675651789659744,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.9
000528.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2263,0.8888452474469757,10,0.004418912947414936,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.002984211551971949,0.012241119386906484
000537.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2296,0.9018067556952082,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,5.9177233553420194e-06,0.02684146962244882,0.6190448174428251
000537.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2251,0.8841319717203456,30,0.01332741003998223,2016-01-04,2026-06-30,2016-11-16,2026-06-30,0.0,0.5,0.9
000537.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2251,0.8841319717203456,50,0.02221235006663705,2016-01-04,2026-06-30,2016-11-16,2026-06-30,0.0,0.0035260462800360327,0.10301032734158973
000538.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2037,0.8000785545954439,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.4815038683835269e-05,0.017635909350318002,0.19485243826189436
000538.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,1962,0.7706205813040062,11,0.0056065239551478085,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000538.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,1962,0.7706205813040062,28,0.014271151885830785,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.002747756766725651,0.017989916143111007
000539.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2487,0.9768263943440691,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.2001242406967094e-05,0.01816146083397374,0.30293219267265137
000539.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2468,0.969363707776905,14,0.005672609400324149,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
000539.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2468,0.969363707776905,25,0.01012965964343598,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0026687465459405146,0.027158155700492202
000559.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2354,0.9245875883739199,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,9.431208728649665e-06,0.0241927347242874,0.28580791065318323
000559.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2297,0.9021995286724274,25,0.0108837614279495,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
000559.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2297,0.9021995286724274,58,0.025250326512842838,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0032902650244010178,0.03104033571840432
000568.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2410,0.9465828750981933,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,5.814239699208912e-05,0.03689361337052155,0.29061819430033076
000568.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2379,0.934406912804399,18,0.007566204287515763,2016-01-04,2026-06-30,2016-09-06,2026-06-30,0.0,0.55,1.0
000568.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2379,0.934406912804399,30,0.012610340479192938,2016-01-04,2026-06-30,2016-09-06,2026-06-30,0.0,0.0048550617270514355,0.028866328926639807
000582.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2190,0.8601728201099764,0,0.0,2016-01-04,2026-06-30,2016-12-09,2026-06-30,4.918663139008572e-07,0.021201025279976804,0.3428303268191515
000582.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2133,0.8377847604084839,8,0.003750586029067042,2016-01-04,2026-06-30,2017-01-06,2026-06-30,0.0,0.5,0.9
000582.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2133,0.8377847604084839,35,0.016408813877168308,2016-01-04,2026-06-30,2017-01-06,2026-06-30,0.0,0.0030137233946407214,0.02199945742458125
000591.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2487,0.9768263943440691,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,2.22721363041245e-05,0.025158481494663043,0.3198356903780457
000591.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2468,0.969363707776905,13,0.00526742301458671,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000591.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2468,0.969363707776905,30,0.012155591572123177,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.003520118189022004,0.03306246682800209
000596.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2487,0.9768263943440691,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,4.218156195090472e-05,0.03701219329445049,0.2653481967689135
000596.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2468,0.969363707776905,7,0.0028363047001620746,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
