security_id,indicator_id,row_count,present_count,valid_count,valid_rate_expected,valid_rate_present,unknown_count,blocked_count,diagnostic_required_count,first_date,last_date,first_valid_date,last_valid_date
000539.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000539.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000539.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000559.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2531,2354,0.9245875883739199,0.9300671671276175,59,133,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000559.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2531,2297,0.9021995286724274,0.9075464243382062,78,171,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000559.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2531,2297,0.9021995286724274,0.9075464243382062,78,171,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000568.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2528,2410,0.9465828750981933,0.9533227848101266,59,77,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000568.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2528,2379,0.934406912804399,0.9410601265822784,71,96,0,2016-01-04,2026-06-30,2016-09-06,2026-06-30
000568.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2528,2379,0.934406912804399,0.9410601265822784,71,96,0,2016-01-04,2026-06-30,2016-09-06,2026-06-30
000582.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2402,2190,0.8601728201099764,0.9117402164862615,35,321,0,2016-01-04,2026-06-30,2016-12-09,2026-06-30
000582.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2402,2133,0.8377847604084839,0.8880099916736053,35,378,0,2016-01-04,2026-06-30,2017-01-06,2026-06-30
000582.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2402,2133,0.8377847604084839,0.8880099916736053,35,378,0,2016-01-04,2026-06-30,2017-01-06,2026-06-30
000591.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000591.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000591.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000596.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000596.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000596.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000598.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000598.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000598.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000617.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2437,2234,0.8774548311076198,0.9167008617152236,58,254,0,2016-01-04,2026-06-30,2017-04-18,2026-06-30
000617.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2437,2215,0.8699921445404556,0.9089043906442347,58,273,0,2016-01-04,2026-06-30,2017-05-16,2026-06-30
000617.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2437,2215,0.8699921445404556,0.9089043906442347,58,273,0,2016-01-04,2026-06-30,2017-05-16,2026-06-30
000623.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2545,2431,0.9548311076197957,0.9552062868369352,55,60,0,2016-01-04,2026-06-30,2016-06-24,2026-06-30
000623.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2545,2412,0.9473684210526315,0.9477406679764243,55,79,0,2016-01-04,2026-06-30,2016-07-21,2026-06-30
000623.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2545,2412,0.9473684210526315,0.9477406679764243,55,79,0,2016-01-04,2026-06-30,2016-07-21,2026-06-30
000625.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2526,2429,0.9540455616653575,0.9615993665874901,38,79,0,2016-01-04,2026-06-30,2016-06-28,2026-06-30
000625.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2526,2410,0.9465828750981933,0.9540775930324624,38,98,0,2016-01-04,2026-06-30,2016-07-25,2026-06-30
000625.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2526,2410,0.9465828750981933,0.9540775930324624,38,98,0,2016-01-04,2026-06-30,2016-07-25,2026-06-30
000629.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2136,1942,0.762765121759623,0.9091760299625468,59,545,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000629.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2136,1885,0.7403770620581304,0.8824906367041199,78,583,0,2016-01-04,2026-06-30,2017-01-12,2026-06-30
000629.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2136,1885,0.7403770620581304,0.8824906367041199,78,583,0,2016-01-04,2026-06-30,2017-01-12,2026-06-30
000630.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2536,2418,0.9497250589159466,0.9534700315457413,59,69,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000630.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2536,2380,0.9347996857816182,0.9384858044164038,78,88,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000630.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2536,2380,0.9347996857816182,0.9384858044164038,78,88,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000651.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2389,2081,0.8173605655930872,0.8710757639179573,30,435,0,2016-01-04,2026-06-30,2017-03-02,2026-06-30
000651.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2389,2005,0.7875098193244304,0.8392632900795312,30,511,0,2016-01-04,2026-06-30,2017-03-29,2026-06-30
000651.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2389,2005,0.7875098193244304,0.8392632900795312,30,511,0,2016-01-04,2026-06-30,2017-03-29,2026-06-30
000657.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2498,2321,0.9116260801256874,0.9291433146517214,0,225,0,2016-01-04,2026-06-30,2016-05-20,2026-06-30
000657.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2498,2264,0.8892380204241949,0.9063250600480385,0,282,0,2016-01-04,2026-06-30,2016-06-20,2026-06-30
000657.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2498,2264,0.8892380204241949,0.9063250600480385,0,282,0,2016-01-04,2026-06-30,2016-06-20,2026-06-30
000661.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2531,2295,0.901413982717989,0.9067562228368234,59,192,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000661.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2531,2227,0.8747054202670856,0.8798893717898064,70,249,0,2016-01-04,2026-06-30,2016-08-18,2026-06-30
000661.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2531,2227,0.8747054202670856,0.8798893717898064,70,249,0,2016-01-04,2026-06-30,2016-08-18,2026-06-30
000683.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
