transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_V,250,0.2,not_applicable,20,0.11780658109221867,0.1285741900802116,0.15834217544861753,0.15025510074331708,25578,0,1.0,0.19383845492219876,0.07603187382998008,0.03549627947358122,0.04358335417888168,""
P_TO_V,250,0.3,not_applicable,1,0.11459099410578337,0.2050713010833994,0.3070759228986637,0.13325840194699518,29756,4,0.9998319948926447,0.33510298713080877,0.2205119930250254,0.02802706423214507,0.2018445851838136,""
P_TO_V,250,0.3,not_applicable,3,0.12068576408394631,0.2050713010833994,0.29111254877695447,0.14159026387079907,29796,5,0.9997986712301188,0.3457821622709885,0.2250963981870422,0.05466961349403404,0.20419189840018945,""
P_TO_V,250,0.3,not_applicable,5,0.12762605606618097,0.2050713010833994,0.28012130280755304,0.15113351934524685,29823,3,0.9998658933181346,0.345827605860462,0.21820154979428105,0.06570630305290898,0.19469408651521516,""
P_TO_V,250,0.3,not_applicable,10,0.14587654929529253,0.2050713010833994,0.2616389800018577,0.17584406295095667,29867,4,0.9998326191751473,0.3399839314408141,0.1941073821455216,0.07834495143895642,0.16413986848985745,""
P_TO_V,250,0.3,not_applicable,20,0.1815262217065082,0.2050713010833994,0.2401745513781784,0.2242718701908165,29974,4,0.9997998665777185,0.29399599733155435,0.11246977562504615,0.05382144595337596,0.06972412714073783,""
P_TO_V,500,0.1,not_applicable,1,0.02841911758105835,0.0450149455363822,0.11790408480600957,0.041485666962125564,14026,1,0.9999287089185143,0.13887502673415555,0.1104559091530972,0.020970941928145984,0.09738935977202999,""
P_TO_V,500,0.1,not_applicable,3,0.029716596209971427,0.0450149455363822,0.10527571410872881,0.04406699967101865,14039,0,1.0,0.1440985825201225,0.11438198631015108,0.03882286841139369,0.10003158284910385,""
P_TO_V,500,0.1,not_applicable,5,0.03121119587849164,0.0450149455363822,0.09603227528012882,0.04727235730602007,14051,0,1.0,0.14105757597324034,0.1098463800947487,0.04502530069311152,0.09378521866722027,""
P_TO_V,500,0.1,not_applicable,10,0.03497696225042438,0.0450149455363822,0.07905620065716301,0.05571653550234312,14086,0,1.0,0.12409484594632969,0.08911788369590531,0.04503864528916668,0.06837831044398657,""
P_TO_V,500,0.1,not_applicable,20,0.041167906826269814,0.0450149455363822,0.058870005703564474,0.07006039298136643,14165,0,1.0,0.08683374514648783,0.04566583832021801,0.027963739442923352,0.016773352165121394,""
