security_id,candidate_variant,baseline_variant,W,q,valid_row_count,baseline_true_count,candidate_true_count,jaccard,baseline_retention,candidate_precision
300408.SZ,c2_only,baseline_pair,120,0.2,2357,527,540,0.8556521739130435,0.9335863377609108,0.9111111111111111
300413.SZ,c2_only,baseline_pair,120,0.2,1987,455,466,0.8531187122736419,0.9318681318681319,0.9098712446351931
300418.SZ,c2_only,baseline_pair,120,0.2,2362,562,586,0.8251192368839427,0.9234875444839857,0.8856655290102389
300432.SZ,c2_only,baseline_pair,120,0.2,2132,507,516,0.7947368421052632,0.893491124260355,0.877906976744186
300433.SZ,c2_only,baseline_pair,120,0.2,2293,516,537,0.8538732394366197,0.939922480620155,0.9031657355679702
300442.SZ,c2_only,baseline_pair,120,0.2,2231,471,524,0.7704626334519573,0.9193205944798302,0.8263358778625954
300450.SZ,c2_only,baseline_pair,120,0.2,2172,473,491,0.8574181117533719,0.9408033826638478,0.9063136456211812
300454.SZ,c2_only,baseline_pair,120,0.2,1782,390,420,0.8409090909090909,0.9487179487179487,0.8809523809523809
300458.SZ,c2_only,baseline_pair,120,0.2,2357,549,571,0.7554858934169278,0.8779599271402551,0.8441330998248686
300474.SZ,c2_only,baseline_pair,120,0.2,2283,510,552,0.7611940298507462,0.9,0.8315217391304348
300475.SZ,c2_only,baseline_pair,120,0.2,2278,516,537,0.8123924268502581,0.9147286821705426,0.8789571694599627
300476.SZ,c2_only,baseline_pair,120,0.2,2362,548,538,0.8221476510067114,0.8941605839416058,0.9107806691449815
300487.SZ,c2_only,baseline_pair,120,0.2,2251,485,518,0.800718132854578,0.9195876288659793,0.861003861003861
300496.SZ,c2_only,baseline_pair,120,0.2,2241,548,582,0.8255250403877221,0.9324817518248175,0.8780068728522337
300498.SZ,c2_only,baseline_pair,120,0.2,2356,501,513,0.8303249097472925,0.9181636726546906,0.8966861598440545
300502.SZ,c2_only,baseline_pair,120,0.2,2257,523,538,0.8712522045855379,0.9445506692160612,0.9182156133828996
300548.SZ,c2_only,baseline_pair,120,0.2,2099,535,550,0.8174204355108877,0.9121495327102803,0.8872727272727273
300558.SZ,c2_only,baseline_pair,120,0.2,2149,517,547,0.8344827586206897,0.9361702127659575,0.8848263254113345
300567.SZ,c2_only,baseline_pair,120,0.2,2148,564,586,0.8729641693811075,0.950354609929078,0.9146757679180887
300570.SZ,c2_only,baseline_pair,120,0.2,2132,489,560,0.7367549668874173,0.9100204498977505,0.7946428571428571
300604.SZ,c2_only,baseline_pair,120,0.2,2034,455,492,0.8003802281368821,0.9252747252747253,0.8556910569105691
300620.SZ,c2_only,baseline_pair,120,0.2,1996,432,448,0.7813765182186235,0.8935185185185185,0.8616071428571429
300623.SZ,c2_only,baseline_pair,120,0.2,2006,479,511,0.8367346938775511,0.941544885177453,0.8825831702544031
300627.SZ,c2_only,baseline_pair,120,0.2,1940,416,434,0.7857142857142857,0.8990384615384616,0.8617511520737328
300628.SZ,c2_only,baseline_pair,120,0.2,2065,496,532,0.8422939068100358,0.9475806451612904,0.8834586466165414
300661.SZ,c2_only,baseline_pair,120,0.2,2006,474,512,0.8361266294227188,0.9472573839662447,0.876953125
300666.SZ,c2_only,baseline_pair,120,0.2,1979,465,484,0.8717948717948718,0.9505376344086022,0.9132231404958677
300676.SZ,c2_only,baseline_pair,120,0.2,1967,454,472,0.8557114228456913,0.9405286343612335,0.9046610169491526
