transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.2,not_applicable,20,2023,4930,127469,4901,1381,126285,28206,0.2817792287288309,0.22335194203587125,0.05842728669295963,1.2615929199468343
P_TO_C,120,0.2,not_applicable,20,2024,3136,163307,3108,725,161113,32014,0.23326898326898327,0.19870525655906104,0.03456372670992222,1.1739447023619571
P_TO_C,120,0.2,not_applicable,20,2025,4251,135855,4234,1484,134360,28670,0.3504959848842702,0.21338195891634415,0.13711402596792605,1.6425755329281668
P_TO_C,120,0.2,not_applicable,20,2026,1018,82814,996,226,66353,8963,0.22690763052208834,0.13508055400660104,0.0918270765154873,1.6797949356278177
P_TO_C,120,0.3,not_applicable,1,2016,1040,20379,546,271,14144,2399,0.49633699633699635,0.16961255656108598,0.32672443977591037,2.926298656186109
P_TO_C,120,0.3,not_applicable,1,2017,2895,91050,2757,1119,86929,16586,0.4058759521218716,0.190799388006304,0.2150765641155676,2.1272392766189663
P_TO_C,120,0.3,not_applicable,1,2018,3407,101293,3321,1555,98579,23924,0.4682324601023788,0.24268860507816067,0.22554385502421812,1.9293549441745694
P_TO_C,120,0.3,not_applicable,1,2019,4064,89051,3970,1738,85181,17884,0.43778337531486144,0.20995292377408106,0.22783045154078038,2.085150172930844
P_TO_C,120,0.3,not_applicable,1,2020,3331,117411,3259,1482,113691,24153,0.45474071801166,0.21244425680132992,0.24229646121033008,2.1405178226913275
P_TO_C,120,0.3,not_applicable,1,2021,4020,116148,3915,1676,112558,25801,0.4280970625798212,0.22922404449261713,0.1988730180872041,1.8675923092073765
