transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,target_status_matched_event_count,target_status_matched_true_count,target_status_matched_observed_probability,target_status_matched_event_coverage,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_C,120,0.3,not_applicable,5,0.23799415943453303,0.3233528912902495,0.3524608223626786,37703,16402,0.4350316950905763,0.9959320601209816,0.2544912544458886,37856,1,0.9999735848059804,0.4348997543386956,0.19690559490416257,0.0825708727278977,0.180408499892807,""
P_TO_C,120,0.3,not_applicable,10,0.2569172923172636,0.3233528912902495,0.3314433071811015,37660,15646,0.4154540626659586,0.9923322178598719,0.27655868371217335,37949,2,0.9999473004663909,0.4155885220415799,0.1586712297243163,0.08401075548485709,0.13902983832940657,""
P_TO_C,120,0.3,not_applicable,20,0.2834202719708955,0.3233528912902495,0.3146481167060965,37567,14605,0.38877206058508795,0.9855707427132251,0.30362937279997015,38117,0,1.0,0.3900621769813994,0.10664190501050391,0.07412394387899146,0.08643280418142923,""
P_TO_C,250,0.1,not_applicable,1,0.08671258228500481,0.11455585128418273,0.20984366952193645,18515,4503,0.24320820955981637,0.9995141438134312,0.10673151999080507,18524,0,1.0,0.24314402936730728,0.15643144708230247,0.03336454003787992,0.1364125093765022,""
P_TO_C,250,0.1,not_applicable,3,0.08887582033181118,0.11455585128418273,0.17482468003920348,18510,4483,0.24219340896812533,0.998543453633274,0.11089045269156836,18537,0,1.0,0.24232615849382316,0.15345033816201198,0.06736872892892184,0.1314357058022548,""
P_TO_C,250,0.1,not_applicable,5,0.09146566268824595,0.11455585128418273,0.15723894342811956,18506,4318,0.23332973089808712,0.9973592023713285,0.11571358788172778,18555,0,1.0,0.23346806790622474,0.1420024052179788,0.07609078746996756,0.11775448002449695,""
P_TO_C,250,0.1,not_applicable,10,0.09608355989143966,0.11455585128418273,0.13407591627210552,18490,3839,0.20762574364521363,0.9945137693631669,0.12389033170838303,18592,0,1.0,0.2073472461273666,0.11126368623592695,0.07354982737310811,0.08345691441898358,""
P_TO_C,250,0.1,not_applicable,20,0.10029250611539671,0.11455585128418273,0.11479887666751697,18463,3555,0.1925472566755132,0.986113336537948,0.1285796626328903,18723,0,1.0,0.19190300699674198,0.09161050088134527,0.07774838000799623,0.06332334436385167,""
P_TO_C,250,0.2,not_applicable,1,0.14648160519948997,0.21185163476609173,0.30593203103701444,25472,8743,0.34323963567839194,0.9993330456275256,0.16918153616239134,25486,2,0.9998823021695633,0.34328533877358863,0.19680373357409867,0.0373076046413775,0.1741038026111973,""
P_TO_C,250,0.2,not_applicable,3,0.1509090909090909,0.21185163476609173,0.2711766900746914,25463,8792,0.3452853159486313,0.9980793352148009,0.1762784545094692,25511,1,0.9999608027594857,0.3454060834117278,0.19449699250263688,0.0741086258739399,0.1691276289022586,""
