transition_path,W,q,K,lag_k,event_security_count,per_security_median_effect,positive_security_count,negative_security_count,zero_security_count,pooled_absolute_difference,pooled_vs_security_median_sign_consistency
P_TO_PCT,500,0.2,not_applicable,10,776,0.03784246965233602,576,175,25,0.047870174948661866,true
P_TO_PCT,500,0.2,not_applicable,20,776,0.027483853984758125,531,224,21,0.03665335795913754,true
P_TO_PCT,500,0.3,not_applicable,1,779,0.1306257951653944,735,14,27,0.13686414808903188,true
P_TO_PCT,500,0.3,not_applicable,3,779,0.1237014587142678,733,27,16,0.13042951915431708,true
P_TO_PCT,500,0.3,not_applicable,5,779,0.11238559627782554,732,32,12,0.12023393318657669,true
P_TO_PCT,500,0.3,not_applicable,10,779,0.0835160195732072,705,60,13,0.09088969816544581,true
P_TO_PCT,500,0.3,not_applicable,20,779,0.06284504643465408,669,99,10,0.07234505041367917,true
P_TO_PCVT,120,0.1,not_applicable,1,794,0.0,87,47,659,0.0037912180870162014,false
P_TO_PCVT,120,0.1,not_applicable,3,794,0.0,89,126,579,0.0033772474275506276,false
P_TO_PCVT,120,0.1,not_applicable,5,794,0.0,77,194,523,0.0027951958923699773,false
P_TO_PCVT,120,0.1,not_applicable,10,794,0.0,61,294,439,0.0020385071163266733,false
P_TO_PCVT,120,0.1,not_applicable,20,794,0.0,34,373,387,0.0006241490307757721,false
P_TO_PCVT,120,0.2,not_applicable,1,794,0.0,373,81,339,0.016660510285411073,false
P_TO_PCVT,120,0.2,not_applicable,3,794,0.01494375564496264,404,159,230,0.017551763641736405,true
P_TO_PCVT,120,0.2,not_applicable,5,794,0.016908212560386472,446,198,149,0.019125102415559703,true
P_TO_PCVT,120,0.2,not_applicable,10,794,0.009693754521340728,405,304,84,0.01375510533647729,true
P_TO_PCVT,120,0.2,not_applicable,20,794,-0.0014521675511447612,308,434,52,0.006708235898523953,false
P_TO_PCVT,120,0.3,not_applicable,1,794,0.035288785288785283,633,49,111,0.039478341887952025,true
P_TO_PCVT,120,0.3,not_applicable,3,794,0.036703518069977695,660,69,64,0.043079114726322525,true
P_TO_PCVT,120,0.3,not_applicable,5,794,0.03642358714822483,665,91,37,0.04209464634930905,true
P_TO_PCVT,120,0.3,not_applicable,10,794,0.03354037267080745,677,97,19,0.03829396236282166,true
P_TO_PCVT,120,0.3,not_applicable,20,794,0.01843548393269876,578,204,12,0.022437495522250845,true
P_TO_PCVT,250,0.1,not_applicable,1,789,0.0,37,20,731,0.0019551054195411123,false
P_TO_PCVT,250,0.1,not_applicable,3,789,0.0,47,63,678,0.002414915910703076,false
P_TO_PCVT,250,0.1,not_applicable,5,789,0.0,31,103,654,0.0016740366874415107,false
P_TO_PCVT,250,0.1,not_applicable,10,789,0.0,28,152,608,0.001320812319949393,false
P_TO_PCVT,250,0.1,not_applicable,20,789,0.0,29,219,540,0.0012502182676924103,false
P_TO_PCVT,250,0.2,not_applicable,1,788,0.0,238,63,487,0.011596791402047944,false
P_TO_PCVT,250,0.2,not_applicable,3,788,0.0,269,155,364,0.012994296659293978,false
P_TO_PCVT,250,0.2,not_applicable,5,788,0.0,277,209,302,0.012588705781142628,false
P_TO_PCVT,250,0.2,not_applicable,10,788,0.0,262,331,195,0.010837884812228773,false
P_TO_PCVT,250,0.2,not_applicable,20,788,-0.0006417235166036952,235,430,123,0.007725550833822772,false
P_TO_PCVT,250,0.3,not_applicable,1,791,0.023746367229664986,512,54,224,0.030833436249757613,true
P_TO_PCVT,250,0.3,not_applicable,3,791,0.026784346250377296,547,91,152,0.03476606606937739,true
P_TO_PCVT,250,0.3,not_applicable,5,791,0.02537212931371762,560,127,103,0.03446379158795751,true
P_TO_PCVT,250,0.3,not_applicable,10,791,0.0246140290388078,562,160,69,0.03311321580784256,true
P_TO_PCVT,250,0.3,not_applicable,20,791,0.017530100519164916,542,210,39,0.024047933058342297,true
P_TO_PCVT,500,0.1,not_applicable,1,770,0.0,16,10,741,0.0011164685529493634,false
P_TO_PCVT,500,0.1,not_applicable,3,770,0.0,29,36,702,0.00199302900687896,false
P_TO_PCVT,500,0.1,not_applicable,5,770,0.0,20,74,674,0.001305920719276865,false
P_TO_PCVT,500,0.1,not_applicable,10,770,0.0,21,114,633,0.0013131722021943511,false
P_TO_PCVT,500,0.1,not_applicable,20,770,0.0,11,169,590,0.0005150910531408255,false
P_TO_PCVT,500,0.2,not_applicable,1,776,0.0,155,42,574,0.00958354896630585,false
P_TO_PCVT,500,0.2,not_applicable,3,776,0.0,205,116,454,0.012735369920016353,false
P_TO_PCVT,500,0.2,not_applicable,5,776,0.0,152,223,400,0.00845181349940297,false
P_TO_PCVT,500,0.2,not_applicable,10,776,0.0,188,286,302,0.00965574242869486,false
P_TO_PCVT,500,0.2,not_applicable,20,776,0.0,200,358,218,0.009845738667495961,false
P_TO_PCVT,500,0.3,not_applicable,1,779,0.0,379,46,351,0.024199088645185097,false
P_TO_PCVT,500,0.3,not_applicable,3,779,0.02152327965940031,416,107,253,0.028030721436075958,true
P_TO_PCVT,500,0.3,not_applicable,5,779,0.023070396653807928,444,149,183,0.028724940218045978,true
P_TO_PCVT,500,0.3,not_applicable,10,779,0.020084386668981047,439,218,121,0.02847671860682816,true
P_TO_PCVT,500,0.3,not_applicable,20,779,0.0172663910230037,459,241,78,0.02696014217659369,true
